SMD component position file.

Centroid Data for pc board: "dc26_maneki-neko_badge_page01_20180626.brd" as of: 6/28/2018 10:43 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,0.937,2.211,180
C2,Bottom,0.601,2.165,180
C3,Bottom,0.770,2.389,180
C4,Bottom,0.845,2.905,0
C5,Bottom,2.150,3.065,90
C6,Bottom,2.426,4.493,0
C7,Bottom,1.135,2.658,90
C8,Bottom,0.817,2.627,0
C9,Bottom,0.424,2.480,0
C10,Bottom,0.675,4.012,180
C11,Bottom,0.940,4.090,180
C12,Bottom,0.487,4.439,0
H1,Bottom,2.504,4.392,270
H2,Bottom,0.377,2.700,215
H3,Top,1.496,0.717,45
L1,Bottom,0.656,2.267,0
R1,Bottom,0.769,2.305,0
R2,Bottom,0.935,2.306,0
R3,Bottom,0.767,2.067,0
R4,Bottom,0.562,3.443,270
R5,Bottom,0.298,3.288,270
R6,Bottom,0.381,3.381,270
R7,Bottom,2.377,3.433,270
R8,Bottom,2.289,3.533,270
R9,Bottom,2.114,3.733,270
R10,Bottom,0.809,3.743,270
R11,Bottom,0.727,3.648,270
R12,Bottom,0.131,3.081,270
R13,Bottom,0.215,3.183,270
R14,Bottom,0.645,3.543,270
R15,Bottom,2.201,3.633,270
R16,Bottom,2.614,3.383,270
R17,Bottom,2.785,3.078,270
R18,Bottom,0.892,3.843,270
R19,Bottom,2.026,3.828,270
R20,Bottom,2.697,3.283,270
R21,Bottom,1.345,2.441,270
R22,Bottom,1.179,2.441,270
R23,Bottom,1.262,2.441,90
R24,Bottom,1.093,2.440,90
R25,Bottom,0.250,2.710,270
R26,Bottom,0.960,4.466,180
R27,Bottom,0.719,4.637,180
R28,Bottom,1.139,4.016,90
R29,Bottom,1.224,4.014,270
S1,Bottom,1.228,2.181,0
SW1,Bottom,1.531,3.949,0
T1,Bottom,0.207,2.863,0
U$2,Bottom,1.520,2.075,90
U1,Bottom,0.715,4.277,0
U2,Bottom,0.767,2.191,180
U3,Bottom,1.569,2.619,0
U4,Bottom,0.997,2.661,180
U5,Bottom,2.287,3.070,180
U6,Bottom,0.788,3.043,90
