"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"SPICEPREFIX";
"C1";"10uF/16V/X5R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C2";"10uF/16V/X5R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C3";"SHORT";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C4";"1uF/16V/X7R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C5";"1uF/16V/X7R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C6";"1uF/16V/X7R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C7";"1uF/16V/X7R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C8";"1uF/16V/X7R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C9";"1uF/16V/X7R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C10";"1uF/16V/X7R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C11";"1uF/16V/X7R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"C12";"1uF/16V/X7R";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"C";
"D1";"PSA08-11SRWA";"PSA08-11SRWA";"PSA08-11SRWA";"";"";"";"";"";"";"";"";"";"";"";
"D2";"PSA08-11SRWA";"PSA08-11SRWA";"PSA08-11SRWA";"";"";"";"";"";"";"";"";"";"";"";
"H1";"20021121-00010T4LF";"20021121-00010T4LF";"20021121-00010T4LF";"";"";"";"";"";"";"";"";"";"";"";
"H2";"M20-8890345R";"M20-8890345R";"M20-8890345R";"";"";"";"";"";"";"";"";"";"";"";
"H3";"SHITTY-ADDON-HEADER-MASTER";"SHITTY-ADDON-HEADER-MASTER";"2X2-0.1INCH-FEMALE-SMT";"";"";"";"";"";"";"";"";"";"";"";
"L1";"CIG22L4R7MNE";"CIG22L4R7MNE";"L-1008-US";"";"";"";"";"";"";"";"";"";"";"";
"R1";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R2";"DNP";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R3";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R4";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R5";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R6";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R7";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R8";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R9";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R10";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R11";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R12";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R13";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
"R14";"270/5%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"R";
